ID,SublineaTematica,Indicador,Valor,Año,Mes,geo_padre_nombre,geografia_nombre,Fuente_de_información,Actividad_Economica,CIIU,Tamaño_de_Empresa,Organización_Jurídica,Periodicidad,Camara_de_Comercio,Trimestre,latitude,longitude
11491,DINÁMICA EMPRESARIAL,VALOR DE LOS ACTIVOS EMPRESARIALES DE EMPRESAS MATRICULADAS (millones de pesos),1.3,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD ANTONIO NARIÑO,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4649   COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMÉSTICOS N.C.P.,MICROEMPRESAS,PERSONA NATURAL,MENSUAL,Bogota,2016 Segundo trimestre,4.5901,-74.1034
103809,DINÁMICA EMPRESARIAL,NUMERO DE EMPRESAS MATRICULADAS (numérico),1,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD ANTONIO NARIÑO,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4649   COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMÉSTICOS N.C.P.,MICROEMPRESAS,PERSONA NATURAL,MENSUAL,Bogota,2016 Segundo trimestre,4.5901,-74.1034
69331,DINÁMICA EMPRESARIAL,VALOR DE LOS ACTIVOS EMPRESARIALES DE EMPRESAS CON MATRICULA RENOVADA (millones de pesos),2.48,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD ANTONIO NARIÑO,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4542   MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS,MICROEMPRESAS,PERSONA NATURAL,MENSUAL,Bogota,2016 Segundo trimestre,4.5901,-74.1034
205838,DINÁMICA EMPRESARIAL,NUMERO DE EMPRESAS CON MATRICULA RENOVADA (numérico),2,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD ANTONIO NARIÑO,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4542   MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS,MICROEMPRESAS,PERSONA NATURAL,MENSUAL,Bogota,2016 Segundo trimestre,4.5901,-74.1034
11581,DINÁMICA EMPRESARIAL,VALOR DE LOS ACTIVOS EMPRESARIALES DE EMPRESAS MATRICULADAS (millones de pesos),13.5,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD BARRIOS UNIDOS,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4649   COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMÉSTICOS N.C.P.,MICROEMPRESAS,PERSONA NATURAL,MENSUAL,Bogota,2016 Segundo trimestre,4.6786,-74.0786
206118,DINÁMICA EMPRESARIAL,NUMERO DE EMPRESAS CON MATRICULA RENOVADA (numérico),3,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD BARRIOS UNIDOS,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4542   MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS,MICROEMPRESAS,PERSONA NATURAL,MENSUAL,Bogota,2016 Segundo trimestre,4.6786,-74.0786
103942,DINÁMICA EMPRESARIAL,NUMERO DE EMPRESAS MATRICULADAS (numérico),1,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD BARRIOS UNIDOS,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4542   MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS,MICROEMPRESAS,SOCIEDAD POR ACCIONES SIMPLIFICADA,MENSUAL,Bogota,2016 Segundo trimestre,4.6786,-74.0786
206134,DINÁMICA EMPRESARIAL,NUMERO DE EMPRESAS CON MATRICULA RENOVADA (numérico),1,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD BARRIOS UNIDOS,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4649   COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMÉSTICOS N.C.P.,MICROEMPRESAS,SOCIEDAD POR ACCIONES SIMPLIFICADA,MENSUAL,Bogota,2016 Segundo trimestre,4.6786,-74.0786
69537,DINÁMICA EMPRESARIAL,VALOR DE LOS ACTIVOS EMPRESARIALES DE EMPRESAS CON MATRICULA RENOVADA (millones de pesos),10,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD BARRIOS UNIDOS,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4649   COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMÉSTICOS N.C.P.,MICROEMPRESAS,SOCIEDAD POR ACCIONES SIMPLIFICADA,MENSUAL,Bogota,2016 Segundo trimestre,4.6786,-74.0786
11576,DINÁMICA EMPRESARIAL,VALOR DE LOS ACTIVOS EMPRESARIALES DE EMPRESAS MATRICULADAS (millones de pesos),20,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD BARRIOS UNIDOS,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4542   MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS,MICROEMPRESAS,SOCIEDAD POR ACCIONES SIMPLIFICADA,MENSUAL,Bogota,2016 Segundo trimestre,4.6786,-74.0786
69526,DINÁMICA EMPRESARIAL,VALOR DE LOS ACTIVOS EMPRESARIALES DE EMPRESAS CON MATRICULA RENOVADA (millones de pesos),4.7,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD BARRIOS UNIDOS,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4542   MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS,MICROEMPRESAS,PERSONA NATURAL,MENSUAL,Bogota,2016 Segundo trimestre,4.6786,-74.0786
103951,DINÁMICA EMPRESARIAL,NUMERO DE EMPRESAS MATRICULADAS (numérico),3,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD BARRIOS UNIDOS,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4649   COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMÉSTICOS N.C.P.,MICROEMPRESAS,PERSONA NATURAL,MENSUAL,Bogota,2016 Segundo trimestre,4.6786,-74.0786
11702,DINÁMICA EMPRESARIAL,VALOR DE LOS ACTIVOS EMPRESARIALES DE EMPRESAS MATRICULADAS (millones de pesos),2.65,2016,2016 Junio,"BOGOTÁ, D.C.",LOCALIDAD BOSA,CAMARA DE COMERCIO DE BOGOTA,G. COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,4542   MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS,MICROEMPRESAS,PERSONA NATURAL,MENSUAL,Bogota,2016 Segundo trimestre,4.6171,-74.1899
